"event.id","visible","timestamp","location.long","location.lat","study.specific.measurement","sensor.type","individual.taxon.canonical.name","tag.local.identifier","individual.local.identifier","study.name","utm.easting","utm.northing","utm.zone"
13872701855,"true","2016-06-14 13:46:00.000",-89.99043333,35.14831667,"135.360605:22.24096479","radio-transmitter","Agkistrodon contortrix","ID_4270","ID_4270","Spatial ecology of copperhead snakes in an urban park",227569.277815675,3893586.10280803,"16N"
13872701859,"true","2016-06-28 15:28:00.000",-89.99088333,35.14905,"226.1984801:9.834112712","radio-transmitter","Agkistrodon contortrix","ID_4270","ID_4270","Spatial ecology of copperhead snakes in an urban park",227530.717199398,3893668.69936032,"16N"
13872701863,"true","2016-07-15 13:55:00.000",-89.99043333,35.14893333,"195.0514269:34.91191404","radio-transmitter","Agkistrodon contortrix","ID_4270","ID_4270","Spatial ecology of copperhead snakes in an urban park",227571.335503447,3893654.52138538,"16N"
13872701867,"true","2016-07-29 16:18:00.000",-89.98995,35.14871667,"154.3093211:53.71443875","radio-transmitter","Agkistrodon contortrix","ID_4270","ID_4270","Spatial ecology of copperhead snakes in an urban park",227614.657629396,3893629.15835385,"16N"
13872701871,"true","2016-08-16 14:50:00.000",-89.99015,35.14898333,"188.849076:6.324289014","radio-transmitter","Agkistrodon contortrix","ID_4270","ID_4270","Spatial ecology of copperhead snakes in an urban park",227597.321670217,3893659.29241194,"16N"
13872701875,"true","2016-08-30 14:50:00.000",-89.99041667,35.147,"12.48906612:80.40223131","radio-transmitter","Agkistrodon contortrix","ID_4270","ID_4270","Spatial ecology of copperhead snakes in an urban park",227566.402652534,3893439.9723087,"16N"
13872701879,"true","2016-09-12 19:35:00.000",-89.99011667,35.14723333,"18.35154913:116.6510545","radio-transmitter","Agkistrodon contortrix","ID_4270","ID_4270","Spatial ecology of copperhead snakes in an urban park",227594.520217425,3893465.03817798,"16N"
13872701883,"true","2016-09-27 14:00:00.000",-89.98988333,35.14648333,"4.94991582:45.02050208","radio-transmitter","Agkistrodon contortrix","ID_4270","ID_4270","Spatial ecology of copperhead snakes in an urban park",227613.282454184,3893381.18611877,"16N"
13872701887,"true","2016-10-15 15:01:00.000",-89.98976667,35.14845,"120.3707642:25.88454013","radio-transmitter","Agkistrodon contortrix","ID_4270","ID_4270","Spatial ecology of copperhead snakes in an urban park",227630.474564253,3893599.06890445,"16N"
13872701891,"true","2016-10-28 14:27:00.000",-89.98983333,35.14843333,"121.3535673:4.786077134","radio-transmitter","Agkistrodon contortrix","ID_4270","ID_4270","Spatial ecology of copperhead snakes in an urban park",227624.344312916,3893597.40201937,"16N"
13872701895,"true","2017-03-21 18:38:00.000",-89.98975,35.14833333,"108.1241309:15.29984734","radio-transmitter","Agkistrodon contortrix","ID_4270","ID_4270","Spatial ecology of copperhead snakes in an urban park",227631.604463198,3893586.07866577,"16N"
13872701899,"true","2017-04-07 16:25:00.000",-89.99053333,35.14778333,"90.10840304:36.33542489","radio-transmitter","Agkistrodon contortrix","ID_4270","ID_4270","Spatial ecology of copperhead snakes in an urban park",227558.385233205,3893527.20267965,"16N"
13872701903,"true","2017-04-21 16:13:00.000",-89.99016667,35.14833333,"124.6507467:49.15365247","radio-transmitter","Agkistrodon contortrix","ID_4270","ID_4270","Spatial ecology of copperhead snakes in an urban park",227593.633819438,3893587.22044238,"16N"
13872701907,"true","2017-05-13 19:04:00.000",-89.99036667,35.14846667,"146.5872264:88.57978819","radio-transmitter","Agkistrodon contortrix","ID_4270","ID_4270","Spatial ecology of copperhead snakes in an urban park",227575.852974582,3893602.56265225,"16N"
13872701911,"true","2017-05-25 15:44:00.000",-89.99051667,35.14716667,"32.9288621:49.68954036","radio-transmitter","Agkistrodon contortrix","ID_4270","ID_4270","Spatial ecology of copperhead snakes in an urban park",227557.845763467,3893458.73844922,"16N"
